"lead_id","score","temperature","call_order","business_name","phone","phone_e164","category","city","address","reviews","rating","open_24_7","lead_source","dedupe_status","crm_tab","gumption_pipeline","call_status","sms_status","email_status","next_action","requested_sms_send_local","sms_draft","email_to","email_subject","email_body","voicemail_hook","notes"
"ncm-hayward-001","85","HOT","1","ArborTech Inc.","510-871-8788","+15108718788","Tree Service","Hayward","1310 Ruus Ln, Hayward 94544","135","5.0","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call first.","2026-05-23 10:30 America/Los_Angeles","Hi ArborTech Inc., Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi ArborTech Inc., Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey ArborTech Inc., Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-002","80","HOT","2","Saunders Tree Service Inc","925-200-9057","+19252009057","Tree Service","Hayward","22844 Alice St, Hayward 94541","78","4.9","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call second.","2026-05-23 10:30 America/Los_Angeles","Hi Saunders Tree Service Inc, Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi Saunders Tree Service Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Saunders Tree Service Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-003","80","HOT","3","Castillo Tree Service Inc","510-792-6590","+15107926590","Tree Service","Hayward","25798 Franklin Ave, Hayward 94544","51","4.8","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call third.","2026-05-23 10:30 America/Los_Angeles","Hi Castillo Tree Service Inc, Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi Castillo Tree Service Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Castillo Tree Service Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-004","80","HOT","4","Graham Tree Services Inc","510-383-9585","+15103839585","Tree Service","San Leandro","520 Doolittle Dr, San Leandro 94577","49","4.7","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call fourth.","2026-05-23 10:30 America/Los_Angeles","Hi Graham Tree Services Inc, Bryan w/ NorCal CARB Mobile. In San Leandro tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near San Leandro tomorrow","Hi Graham Tree Services Inc, Bryan with NorCal CARB Mobile. I will be in San Leandro tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Graham Tree Services Inc, Bryan with NorCal CARB Mobile. I will be in San Leandro tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-005","75","HOT","5","Boyett Concrete Inc","510-264-9100","+15102649100","Concrete","Hayward","2404 Tripaldi Way, Hayward 94545","16","4.9","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call fifth.","2026-05-23 10:30 America/Los_Angeles","Hi Boyett Concrete Inc, Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi Boyett Concrete Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Boyett Concrete Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-006","75","HOT","6","LS Trucking, Inc.","510-266-5213","+15102665213","Trucking","Hayward","1774 W Winton Ave, Hayward 94545","15","4.3","true","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call sixth.","2026-05-23 10:30 America/Los_Angeles","Hi LS Trucking, Inc., Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi LS Trucking, Inc., Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey LS Trucking, Inc., Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-007","70","HOT","7","Daylight Transport","800-468-9999","+18004689999","Trucking/LTL","Hayward","2340 Industrial Pkwy W, Hayward 94545","98","3.6","false","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call seventh.","2026-05-23 10:30 America/Los_Angeles","Hi Daylight Transport, Bryan w/ NorCal CARB Mobile. In Hayward tomorrow for Clean Truck Checks. Diesels 14k+ GVWR? I can do mobile OBD + OVI same trip. Want a slot? Reply STOP to opt out","","Clean Truck Check near Hayward tomorrow","Hi Daylight Transport, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets nearby. If you have diesel trucks over 14,000 lbs GVWR, I can knock out mobile OBD testing and OVI smoke opacity checks on the same trip. Reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Daylight Transport, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-008","68","WARM","8","Baystar Trans Inc","510-586-9300","+15105869300","Trucking","Hayward","","","","","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call after hot list.","2026-05-23 10:30 America/Los_Angeles","Hi Baystar Trans Inc, Bryan w/ NorCal CARB Mobile. We do mobile Clean Truck Checks for 14k+ GVWR diesels: OBD + OVI smoke opacity. Want a quick quote? Reply STOP to opt out","","Clean Truck Check for Hayward fleets","Hi Baystar Trans Inc, Bryan with NorCal CARB Mobile. We provide mobile Clean Truck Checks for diesel fleets over 14,000 lbs GVWR, including OBD and OVI smoke opacity testing. If this is useful, reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Baystar Trans Inc, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-009","65","WARM","9","Rangel Concrete","510-292-6207","+15102926207","Concrete","San Lorenzo","","","","","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call after hot list.","2026-05-23 10:30 America/Los_Angeles","Hi Rangel Concrete, Bryan w/ NorCal CARB Mobile. We do mobile Clean Truck Checks for 14k+ GVWR diesels: OBD + OVI smoke opacity. Want a quick quote? Reply STOP to opt out","","Clean Truck Check for San Lorenzo fleets","Hi Rangel Concrete, Bryan with NorCal CARB Mobile. We provide mobile Clean Truck Checks for diesel fleets over 14,000 lbs GVWR, including OBD and OVI smoke opacity testing. If this is useful, reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Rangel Concrete, Bryan with NorCal CARB Mobile. I will be in San Lorenzo tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
"ncm-hayward-010","65","WARM","10","Mag Trucking","510-782-8801","+15107828801","Trucking","Hayward","","","","","2026-05-22 prompt","verify_before_contact","Leads_2026-05-14","Cold Calls","not_called","draft_not_scheduled","needs_email_address","Deduplicate in Master CRM, then call after hot list.","2026-05-23 10:30 America/Los_Angeles","Hi Mag Trucking, Bryan w/ NorCal CARB Mobile. We do mobile Clean Truck Checks for 14k+ GVWR diesels: OBD + OVI smoke opacity. Want a quick quote? Reply STOP to opt out","","Clean Truck Check for Hayward fleets","Hi Mag Trucking, Bryan with NorCal CARB Mobile. We provide mobile Clean Truck Checks for diesel fleets over 14,000 lbs GVWR, including OBD and OVI smoke opacity testing. If this is useful, reply with the best person to coordinate with or call/text me at {{bryan_phone}}. Thanks, Bryan, NorCal CARB Mobile, https://norcalcarbmobile.com, {{physical_mailing_address}}. To stop receiving emails from us, reply Unsubscribe.","Hey Mag Trucking, Bryan with NorCal CARB Mobile. I will be in Hayward tomorrow doing Clean Truck Checks for fleets right by you. If you have diesels over 14,000 lbs I can knock yours out same trip - mobile OBD and OVI smoke opacity, 24/7, 363 days a year. Call me before the State calls you. {{bryan_phone}}.","Verify not existing customer before calling."
